title,domestic_revenue,distributor,budget,MPAA,genres,release_date
Stella's Last Weekend,"$4,215 ",Paladin,N/A,N/A,"Comedy,Drama",12-Oct-18
The Other Side of Everything,"$4,685 ",Icarus Films,N/A,N/A,"Biography,Documentary",13-Jul-18
Status Update,"$4,764 ",Vertical Entertainment,N/A,PG-13,"Comedy,Fantasy,Romance",30-Mar-18
Wonderstruck,"$1,060,377 ",Roadside Attractions,N/A,PG,"Drama,Mystery",20-Oct-17
Weightless,"$4,461 ",Great Point Media,N/A,R,Drama,9-Nov-18
Social Animals,"$5,007 ",Vertical Entertainment,N/A,R,Comedy,1-Jun-18
The Texture of Falling,"$5,010 ",BloodSweatHoney,N/A,N/A,Drama,1-Jun-18
Kickboxer: Retaliation,"$4,537 ",Well Go USA Entertainment,N/A,R,"Action,Drama",26-Jan-18
Kangaroo,"$4,547 ",Abramorama,N/A,N/A,Documentary,19-Jan-18
The Long Dumb Road,"$4,667 ",The Film Arcade,N/A,R,Comedy,9-Nov-18
Edward II,"$4,826 ",Film Movement,N/A,R,"Drama,History,Romance",4-May-18
Are We Not Cats,"$5,518 ",Cleopatra Films,N/A,N/A,"Comedy,Horror,Romance",23-Feb-18
An L.A. Minute,"$5,004 ",Strand Releasing,N/A,R,Comedy,24-Aug-18
Dolores,"$555,309 ",PBS Distribution,N/A,N/A,"Biography,Documentary,History",1-Sep-17
12 Days,"$5,204 ",Distrib Films,N/A,N/A,Documentary,16-Mar-18
Postcards from London,"$5,312 ",Strand Releasing,N/A,N/A,Drama,9-Nov-18
In Searching,"$5,210 ",Indican Pictures,N/A,N/A,"Adventure,Drama,Western",9-Nov-18
"Distant Voices, Still Lives","$5,234 ",Arrow Films,N/A,N/A,"Drama,Music",31-Aug-18
I Am MLK Jr.,"$5,918 ",GathrFilms,N/A,N/A,"Biography,Documentary",3-May-18
Women Like Us,"$25,859 ",GathrFilms,N/A,N/A,Documentary,7-Sep-17
Notes on an Appearance,"$5,065 ",Grasshopper Film,N/A,N/A,"Drama,Mystery,Thriller",17-Aug-18
Bill Nye: Science Guy,"$74,909 ",PBS Distribution,N/A,N/A,Documentary,27-Oct-17
Aida's Secrets,"$98,468 ",Music Box Films,N/A,N/A,Documentary,20-Oct-17
Intersection,"$5,116 ",Indican Pictures,N/A,N/A,"Crime,Drama,Mystery,Romance,Thriller",15-Jun-18
Cuban Food Stories,"$5,434 ",First Run,N/A,N/A,Documentary,10-Aug-18
One Last Thing,"$6,232 ",Fathom Events,N/A,N/A,Drama,13-Jun-18
Duck Butter,"$6,877 ",The Orchard,N/A,N/A,"Comedy,Drama,Romance",27-Apr-18
Chavela,"$148,666 ",Music Box Films,N/A,N/A,"Biography,Documentary,History,Music",4-Oct-17
On the Beach at Night Alone,"$37,489 ",The Cinema Guild,N/A,N/A,Drama,17-Nov-17
The Quake,"$6,235 ",Magnolia Pictures,N/A,PG-13,"Action,Drama,Thriller",14-Dec-18
Defining Hope,"$15,788 ",GathrFilms,N/A,N/A,Documentary,3-Nov-17
Of Fathers and Sons,"$12,579 ",Kino Lorber,N/A,N/A,"Documentary,War",16-Nov-18
A Whale of a Tale,"$6,747 ",Fine Line Media,N/A,N/A,Documentary,17-Aug-18
An Evening with Beverly Luff Linn,"$6,701 ",The Film Arcade,N/A,R,"Comedy,Crime",19-Oct-18
School of Life,"$6,300 ",Distrib Films,N/A,N/A,"Comedy,Drama,Family",7-Sep-18
